Street,City,State,neighborhood_name,crime_rate
667 Cole Radial,Stamford,CT,Downtown Stamford,9.4
1760 Donna Knoll Apt. 084,Jersey City,NJ,East Elizabeth,4.5
4444 Adams Lodge Apt. 931,Stamford,CT,South Norwalk,7.0
667 Benitez Unions Suite 726,New York,NY,West Bronx,1.7
5650 Powell Ways,Newark,NJ,East Elizabeth,4.5
588 Angela Walk,Waterbury,CT,South Norwalk,7.0
2673 Jennifer Station,New York,NY,Upper East Side,8.0
36463 Christina Meadows Suite 070,Elizabeth,NJ,Downtown Camden,1.3
73577 Griffin Fork,Waterbury,CT,East Hartford,2.7
19776 Amanda Isle,Rochester,NY,Northern Queens,9.3
40191 Bradley Corners Suite 818,Waterbury,CT,Downtown New London,3.2
9329 Christensen Walk,Elizabeth,NJ,Mid New Brunswick,7.6
7585 Nash Mountains Apt. 932,Syracuse,NY,Upper West Side,7.7
026 Torres River Apt. 242,Syracuse,NY,Northern Queens,9.3
37623 Kim Shoals,Rochester,NY,Downtown Manhattan,1.7
1068 Andrea Tunnel,Albany,NY,Downtown Brooklyn,4.8
58126 Alex Vista Apt. 046,Rochester,NY,North Staten Island,2.0
59154 Norton Summit Apt. 552,Waterbury,CT,North New Haven,7.1
57258 Torres Port,Newark,NJ,East Elizabeth,4.5
90854 Mckee Drive,Buffalo,NY,Midtown East,2.1
046 Heidi Motorway,Newark,NJ,Mid New Brunswick,7.6
147 Kelly Lake Apt. 077,Waterbury,CT,Downtown New London,3.2
78295 Stephen Fork Apt. 707,Syracuse,NY,Midtown West,6.1
469 Susan Island Apt. 073,Elizabeth,NJ,East Elizabeth,4.5
924 Brian Shores,New York,NY,Downtown Manhattan,1.7
440 Jonathan Prairie,Elizabeth,NJ,East Elizabeth,4.5
683 Jackson Orchard,Stamford,CT,Downtown New London,3.2
2465 Thompson Branch,Newark,NJ,South Trenton,1.0
89415 Lindsay Meadow,New York,NY,Upper East Side,8.0
30159 Maria Burgs Suite 894,Waterbury,CT,South Norwalk,7.0
7946 Michael Streets Suite 345,Paterson,NJ,East Elizabeth,4.5
69077 Owens Mill,Buffalo,NY,Downtown Manhattan,1.7
6973 Mccarthy Isle Suite 082,Stamford,CT,Downtown New London,3.2
311 Harris Mission Apt. 311,Hartford,CT,East Hartford,2.7
9473 Katherine Forks,Trenton,NJ,South Trenton,1.0
74032 Rhonda Overpass Apt. 904,Paterson,NJ,South Trenton,1.0
25849 Crawford Alley Suite 357,Elizabeth,NJ,Downtown Camden,1.3
69992 Church Skyway,Bridgeport,CT,Downtown New London,3.2
73822 Johnson Lock Suite 104,Waterbury,CT,East Hartford,2.7
651 Preston Pass Apt. 566,Hartford,CT,Downtown New London,3.2
3963 Linda Forges,Bridgeport,CT,Downtown New London,3.2
7669 Danielle Prairie,Bridgeport,CT,North New Haven,7.1
5349 Camacho Crest Apt. 941,Newark,NJ,Mid New Brunswick,7.6
50006 Day Fields,Paterson,NJ,East Elizabeth,4.5
87176 Michael Unions,New York,NY,South Staten Island,6.3
43265 Reynolds Meadow Suite 995,Albany,NY,Midtown West,6.1
936 Bill Stravenue,Bridgeport,CT,Downtown New London,3.2
21894 Clifford Way,Syracuse,NY,Downtown Manhattan,1.7
90605 Veronica Circles Suite 813,Bridgeport,CT,North New Haven,7.1
278 Melton Valley Suite 435,Stamford,CT,Downtown New London,3.2
40817 Smith Parkway,Albany,NY,Midtown West,6.1
9427 Jonathon Shoal,Bridgeport,CT,Downtown Stamford,9.4
441 Lopez Station Apt. 420,Elizabeth,NJ,East Elizabeth,4.5
2545 Chavez Cove,New York,NY,Midtown East,2.1
23864 Amber Square,Rochester,NY,North Staten Island,2.0
357 Jennifer Corner Apt. 501,Bridgeport,CT,Downtown New London,3.2
7775 Derek Garden Apt. 708,Bridgeport,CT,East Hartford,2.7
199 Ian Brook,Elizabeth,NJ,East Elizabeth,4.5
492 Sullivan Place Apt. 658,New Haven,CT,Downtown Stamford,9.4
1717 Luis Tunnel,New Haven,CT,East Hartford,2.7
9844 Lee Gardens Apt. 263,Bridgeport,CT,East Hartford,2.7
28795 Joyce Plains Apt. 753,Waterbury,CT,North New Haven,7.1
8190 Fisher Freeway Suite 915,New Haven,CT,North New Haven,7.1
409 Victoria Dam Suite 033,Rochester,NY,Midtown East,2.1
0075 Roberts Pike,Trenton,NJ,Downtown Camden,1.3
195 Garcia Grove,Trenton,NJ,East Elizabeth,4.5
868 Smith Expressway Suite 712,Albany,NY,Lower West Side,1.5
4902 Brittany Parkway,New Haven,CT,North New Haven,7.1
61395 Martin River Suite 066,Stamford,CT,South Norwalk,7.0
632 Reynolds Pines Apt. 935,Elizabeth,NJ,East Elizabeth,4.5
97870 Gabriel Spurs,Rochester,NY,South Staten Island,6.3
5995 Harris Island,Rochester,NY,North Staten Island,2.0
3085 Rivas Burg,New York,NY,Upper East Side,8.0
381 Wilson Row,Jersey City,NJ,East Elizabeth,4.5
65605 Mccoy Mall Suite 668,Syracuse,NY,West Bronx,1.7
38459 Carey Freeway Suite 988,New York,NY,South Bronx,3.6
420 Alan Meadows,Bridgeport,CT,North New Haven,7.1
79860 Aaron Ridges,Syracuse,NY,Midtown West,6.1
76062 Jordan Falls Apt. 360,New York,NY,Downtown Brooklyn,4.8
8819 Alexander Spurs Apt. 236,Elizabeth,NJ,East Elizabeth,4.5
062 Perez Estates Apt. 601,Syracuse,NY,Upper West Side,7.7
604 Roberson View,Rochester,NY,Northern Queens,9.3
1768 Holly Grove Apt. 532,New Haven,CT,North New Haven,7.1
348 Ferrell Pine Apt. 753,New Haven,CT,South Norwalk,7.0
155 Tran Stravenue Apt. 921,Hartford,CT,Downtown New London,3.2
10219 Hunt Streets,Trenton,NJ,East Elizabeth,4.5
848 Nguyen Center Apt. 310,Syracuse,NY,South Staten Island,6.3
300 Mason Rue Suite 900,Syracuse,NY,East Bronx,5.7
0049 Snyder Cliff,Hartford,CT,South Norwalk,7.0
5168 Mitchell Junction,Hartford,CT,East Hartford,2.7
161 Morgan Cove,Waterbury,CT,North New Haven,7.1
406 Blackburn Mountains Suite 650,Trenton,NJ,Mid New Brunswick,7.6
568 Paul Flats Apt. 621,Newark,NJ,South Trenton,1.0
008 Mays Shores Suite 530,Stamford,CT,South Norwalk,7.0
76005 Lawson Alley,Bridgeport,CT,Downtown New London,3.2
9498 Cuevas Rue,Hartford,CT,North New Haven,7.1
614 Smith Shore Suite 650,Paterson,NJ,Mid New Brunswick,7.6
7007 Vanessa Fall,Stamford,CT,Downtown Stamford,9.4
6192 Raymond Roads,Stamford,CT,South Norwalk,7.0
874 Maria Island Suite 484,Rochester,NY,Northern Queens,9.3
84970 Buckley Curve Apt. 455,Elizabeth,NJ,South Trenton,1.0
588 Rich Groves Apt. 167,New York,NY,West Bronx,1.7
6271 Tyler Valleys Suite 315,Newark,NJ,Downtown Camden,1.3
39798 Christopher Green Apt. 600,Waterbury,CT,Downtown Stamford,9.4
066 David Walks Suite 608,Buffalo,NY,Northern Queens,9.3
7786 Heather Overpass,Trenton,NJ,East Elizabeth,4.5
4585 Simmons Corner,Syracuse,NY,Midtown West,6.1
974 Stephanie Mews,Albany,NY,West Bronx,1.7
475 Lisa Grove Apt. 637,Elizabeth,NJ,South Trenton,1.0
32748 Taylor Mission Apt. 095,Elizabeth,NJ,Mid New Brunswick,7.6
21930 Kimberly Port Suite 343,Rochester,NY,Midtown West,6.1
329 Pennington Street Suite 080,Paterson,NJ,East Elizabeth,4.5
2789 Martin Cliffs Suite 901,Hartford,CT,East Hartford,2.7
0308 Baird Lake Apt. 423,Jersey City,NJ,South Trenton,1.0
971 Andrew Route,Syracuse,NY,South Bronx,3.6
4794 Mccoy Village Suite 285,Buffalo,NY,East Bronx,5.7
0857 Ballard Port Apt. 199,Syracuse,NY,Upper West Side,7.7
0467 Arellano Glens,Buffalo,NY,East Bronx,5.7
617 White River Suite 674,Newark,NJ,Downtown Camden,1.3
048 Yang Loaf,Bridgeport,CT,Downtown New London,3.2
7382 Browning Parkways Apt. 016,Waterbury,CT,South Norwalk,7.0
65468 Kimberly Glen Suite 293,Paterson,NJ,Mid New Brunswick,7.6
08093 Doyle Turnpike Apt. 835,Syracuse,NY,Upper East Side,8.0
75350 Sarah Rapids Apt. 319,Paterson,NJ,South Trenton,1.0
58653 Wright Hills Apt. 757,Stamford,CT,South Norwalk,7.0
3496 Rita Haven,New York,NY,West Bronx,1.7
72248 Christina Bridge Suite 698,Buffalo,NY,North Staten Island,2.0
12969 Billy Trace Apt. 310,New York,NY,Lower West Side,1.5
402 Norma Spring,Hartford,CT,Downtown New London,3.2
034 Travis Circles,Bridgeport,CT,East Hartford,2.7
9706 Amber Cliff,Syracuse,NY,Midtown West,6.1
03243 Mary Ways,Paterson,NJ,East Elizabeth,4.5
183 Louis Gardens Apt. 497,Hartford,CT,South Norwalk,7.0
988 Megan Shore Apt. 747,Paterson,NJ,South Trenton,1.0
683 Tracy Gardens,Syracuse,NY,South Staten Island,6.3
550 Jacob Mount Suite 861,Waterbury,CT,Downtown Stamford,9.4
3466 Ashley Orchard,Albany,NY,Lower East Side,6.8
151 Bond Alley,Jersey City,NJ,Mid New Brunswick,7.6
3192 Cervantes Landing,Paterson,NJ,Mid New Brunswick,7.6
390 Denise Falls Suite 428,Rochester,NY,Downtown Brooklyn,4.8
097 Brown Highway Suite 935,Hartford,CT,East Hartford,2.7
922 Wendy Path,Paterson,NJ,South Trenton,1.0
08062 Green Divide,Albany,NY,Midtown West,6.1
493 Jennifer Turnpike Suite 609,Buffalo,NY,North Staten Island,2.0
94410 Clark Dale Apt. 621,Rochester,NY,South Staten Island,6.3
9819 Scott Turnpike Suite 740,New York,NY,East Bronx,5.7
7971 Solis Ports Suite 775,Bridgeport,CT,Downtown New London,3.2
8752 Elizabeth Locks Apt. 386,Syracuse,NY,West Bronx,1.7
51520 Meyer Rapids Apt. 165,New York,NY,Midtown East,2.1
89470 Clark Viaduct Suite 364,Albany,NY,Midtown West,6.1
28291 Brandon Stravenue,Syracuse,NY,East Bronx,5.7
13328 Waters Ford Suite 061,New York,NY,Northern Queens,9.3
033 Wilson Isle Suite 690,Buffalo,NY,Northern Queens,9.3
7457 Paula Pines,New Haven,CT,North New Haven,7.1
92007 Michael Corner Apt. 146,New Haven,CT,East Hartford,2.7
09080 Stone Hill,Bridgeport,CT,Downtown New London,3.2
93021 Charles Rapid,Albany,NY,Lower West Side,1.5
9121 Kevin Alley,Bridgeport,CT,Downtown New London,3.2
45519 Owens Ramp Suite 211,Bridgeport,CT,Downtown Stamford,9.4
175 Cheryl Cove Apt. 694,Albany,NY,Downtown Manhattan,1.7
1783 Laura Lakes,Jersey City,NJ,South Trenton,1.0
207 Morgan Courts Suite 131,Syracuse,NY,North Staten Island,2.0
0503 Rachel Manor Suite 791,Bridgeport,CT,East Hartford,2.7
78301 Daugherty Brooks Apt. 072,Hartford,CT,Downtown Stamford,9.4
5294 Sandra Spring Suite 124,Albany,NY,East Bronx,5.7
65434 Christopher Street,Paterson,NJ,Mid New Brunswick,7.6
5228 Kyle Rapids Suite 260,Bridgeport,CT,Downtown New London,3.2
921 Christopher Turnpike,Syracuse,NY,Lower West Side,1.5
3824 Burton Meadow,Newark,NJ,Mid New Brunswick,7.6
73776 Wilson Station Apt. 201,Rochester,NY,East Bronx,5.7
6200 Kelly View,Albany,NY,West Bronx,1.7
605 Avila Cliffs,Albany,NY,South Bronx,3.6
865 Kim Village,Stamford,CT,South Norwalk,7.0
87735 Heather Station,Hartford,CT,East Hartford,2.7
5703 Katherine Crossing,Trenton,NJ,East Elizabeth,4.5
249 Long Light Suite 896,Syracuse,NY,Downtown Manhattan,1.7
2570 Edward Island Suite 292,Paterson,NJ,South Trenton,1.0
732 Sean Terrace Suite 820,Bridgeport,CT,East Hartford,2.7
9705 Gary Roads,Waterbury,CT,East Hartford,2.7
7706 Gina Summit Suite 417,Trenton,NJ,Downtown Camden,1.3
801 Moore Spur,Newark,NJ,Downtown Camden,1.3
34968 Miller Neck Apt. 364,New York,NY,Midtown East,2.1
5709 Nicholas Drive,New Haven,CT,East Hartford,2.7
90021 Jerry Forest,Newark,NJ,Mid New Brunswick,7.6
6087 Romero Skyway,Trenton,NJ,Downtown Camden,1.3
36136 Wood Stravenue Suite 798,Hartford,CT,East Hartford,2.7
40298 Perez Drive Suite 835,Buffalo,NY,Midtown West,6.1
631 Pine Drive,New York,NY,West Bronx,1.7
380 Chad Valley,New York,NY,East Bronx,5.7
927 Maple Street,New York,NY,West Bronx,1.7
1156 Maple Street,New York,NY,Downtown Manhattan,1.7
1795 Omar Park,Buffalo,NY,Lower West Side,1.5
3798 Maple Street,Buffalo,NY,Lower West Side,1.5
5460 Alison Bridge,Elizabeth,NJ,Mid New Brunswick,7.6
368 Pine Drive,Elizabeth,NJ,East Elizabeth,4.5
2394 Omar Park,Stamford,CT,South Norwalk,7.0
4120 Maple Street,Stamford,CT,North New Haven,7.1
1375 Oak Avenue,Stamford,CT,East Hartford,2.7
7116 Oak Avenue,Rochester,CT,East Hartford,2.7
9932 Elm Circle,Waterbury,CT,Downtown Stamford,9.4
1918 Chad Valley,Hartford,CT,North New Haven,7.1
10425 Omar Park,Hartford,CT,Downtown New London,3.2
2672 Elm Circle,Hartford,CT,East Hartford,2.7
3740 Elm Circle,Buffalo,NY,Midtown West,6.1
10242 Pine Drive,Buffalo,NY,East Bronx,5.7
13281 Dawson Terrace,Buffalo,NY,Downtown Brooklyn,4.8
10840 Cedar Lane,Waterbury,CT,Downtown Stamford,9.4
5040 Santos Stream,Waterbury,CT,Downtown New London,3.2
19316 Elm Circle,Waterbury,CT,East Hartford,2.7
4416 Cedar Lane,New Haven,CT,North New Haven,7.1
10416 Dawson Terrace,New York,NY,South Bronx,3.6
11525 Santos Stream,Stamford,CT,East Hartford,2.7
4160 Cedar Lane,Stamford,CT,South Norwalk,7.0
20520 Oak Avenue,Stamford,CT,North New Haven,7.1
3052 Dawson Terrace,Elizabeth,NJ,South Trenton,1.0
17168 Santos Stream,Jersey City,CT,East Hartford,2.7
11940 Alison Bridge,Jersey City,CT,Downtown New London,3.2
16616 Cedar Lane,Jersey City,CT,Downtown Stamford,9.4
20512 Elm Circle,Buffalo,NY,Northern Queens,9.3
4323 Pine Drive,Waterbury,CT,North New Haven,7.1
24208 Cedar Lane,Waterbury,CT,Downtown New London,3.2
34825 Alison Bridge,Waterbury,CT,Downtown New London,3.2
8244 Omar Park,Buffalo,NY,Downtown Manhattan,1.7
11359 Omar Park,Buffalo,NY,Lower West Side,1.5
35150 Cedar Lane,Hartford,CT,South Norwalk,7.0
26871 Omar Park,Hartford,CT,North New Haven,7.1
38680 Alison Bridge,Hartford,CT,Downtown New London,3.2
2378 Pine Drive,Hartford,CT,East Hartford,2.7
39816 Omar Park,Paterson,CT,North New Haven,7.1
35991 Dawson Terrace,Paterson,CT,Downtown Stamford,9.4
20240 Oak Avenue,Paterson,CT,East Hartford,2.7
25875 Omar Park,Syracuse,CT,North New Haven,7.1
42182 Santos Stream,Waterbury,CT,North New Haven,7.1
27965 Alison Bridge,Albany,CT,South Norwalk,7.0
5472 Oak Avenue,Newark,CT,East Hartford,2.7
37779 Santos Stream,Newark,CT,Downtown Stamford,9.4
4400 Santos Stream,Newark,CT,North New Haven,7.1
29172 Oak Avenue,New York,NY,Lower East Side,6.8
31200 Dawson Terrace,Syracuse,CT,Downtown Stamford,9.4
7526 Maple Street,Syracuse,CT,East Hartford,2.7
32940 Elm Circle,Syracuse,CT,Downtown Stamford,9.4
52195 Omar Park,Elizabeth,NJ,Mid New Brunswick,7.6
53088 Elm Circle,Elizabeth,NJ,Downtown Camden,1.3
26163 Santos Stream,Jersey City,CT,Downtown Stamford,9.4
6960 Alison Bridge,Jersey City,CT,East Hartford,2.7
17287 Maple Street,Jersey City,CT,North New Haven,7.1
16020 Cedar Lane,Hartford,CT,East Hartford,2.7
32452 Cedar Lane,Hartford,CT,Downtown Stamford,9.4
36766 Pine Drive,Newark,CT,Downtown New London,3.2
56889 Chad Valley,Waterbury,CT,Downtown Stamford,9.4
39424 Alison Bridge,Paterson,CT,Downtown Stamford,9.4
13910 Chad Valley,New Haven,CT,Downtown Stamford,9.4
14256 Dawson Terrace,Albany,CT,Downtown New London,3.2
11256 Santos Stream,Syracuse,CT,Downtown Stamford,9.4
56032 Alison Bridge,Stamford,CT,Downtown Stamford,9.4
20010 Pine Drive,Stamford,CT,North New Haven,7.1
61460 Santos Stream,Stamford,CT,South Norwalk,7.0
19454 Omar Park,Trenton,CT,Downtown New London,3.2
10152 Maple Street,Trenton,CT,Downtown New London,3.2
35478 Maple Street,Trenton,CT,Downtown Stamford,9.4
55352 Santos Stream,Newark,CT,Downtown New London,3.2
63150 Dawson Terrace,Newark,CT,Downtown New London,3.2
61104 Elm Circle,Newark,CT,East Hartford,2.7
57134 Alison Bridge,Jersey City,CT,South Norwalk,7.0
1326 Omar Park,Bridgeport,CT,Downtown New London,3.2
31047 Alison Bridge,Bridgeport,CT,South Norwalk,7.0
34880 Oak Avenue,Elizabeth,NJ,East Elizabeth,4.5
1215 Pine Drive,Elizabeth,NJ,Downtown Camden,1.3
65682 Oak Avenue,Paterson,CT,North New Haven,7.1
79514 Cedar Lane,Paterson,CT,South Norwalk,7.0
76692 Oak Avenue,Paterson,CT,East Hartford,2.7
57800 Oak Avenue,New Haven,CT,Downtown New London,3.2
34486 Santos Stream,New Haven,CT,Downtown Stamford,9.4
39150 Chad Valley,New Haven,CT,Downtown New London,3.2
12584 Oak Avenue,Bridgeport,CT,Downtown New London,3.2
72535 Chad Valley,Bridgeport,CT,Downtown New London,3.2
13500 Omar Park,Bridgeport,CT,South Norwalk,7.0
49322 Alison Bridge,Hartford,CT,Downtown New London,3.2
62284 Cedar Lane,Hartford,CT,South Norwalk,7.0
5673 Alison Bridge,Newark,CT,East Hartford,2.7
44274 Dawson Terrace,Buffalo,NY,South Staten Island,6.3
22610 Omar Park,Buffalo,NY,Downtown Brooklyn,4.8
33696 Cedar Lane,Buffalo,NY,West Bronx,1.7
36569 Oak Avenue,New York,NY,Midtown West,6.1
62426 Pine Drive,New York,NY,West Bronx,1.7
73854 Chad Valley,Albany,CT,Downtown New London,3.2
19700 Dawson Terrace,Albany,CT,South Norwalk,7.0
58580 Cedar Lane,Stamford,CT,North New Haven,7.1
26316 Dawson Terrace,Stamford,CT,East Hartford,2.7
23278 Elm Circle,Paterson,CT,North New Haven,7.1
99632 Maple Street,Rochester,CT,Downtown New London,3.2
19740 Oak Avenue,Rochester,CT,Downtown Stamford,9.4
21624 Cedar Lane,Rochester,CT,North New Haven,7.1
49541 Oak Avenue,New York,NY,Upper West Side,7.7
49356 Omar Park,New York,NY,Upper West Side,7.7
22890 Dawson Terrace,Buffalo,NY,Northern Queens,9.3
93060 Maple Street,Trenton,CT,North New Haven,7.1
41292 Chad Valley,Trenton,CT,North New Haven,7.1
30688 Pine Drive,Trenton,CT,East Hartford,2.7
18419 Cedar Lane,Newark,CT,Downtown New London,3.2
93594 Chad Valley,Waterbury,CT,North New Haven,7.1
10580 Elm Circle,Waterbury,CT,North New Haven,7.1
24708 Dawson Terrace,New York,NY,South Bronx,3.6
102141 Santos Stream,New York,NY,Northern Queens,9.3
74930 Omar Park,New York,NY,East Bronx,5.7
103411 Omar Park,Waterbury,CT,Downtown Stamford,9.4
58800 Alison Bridge,Waterbury,CT,South Norwalk,7.0
101398 Chad Valley,Waterbury,CT,South Norwalk,7.0
121268 Cedar Lane,Elizabeth,NJ,Mid New Brunswick,7.6
70602 Omar Park,New Haven,CT,North New Haven,7.1
79236 Chad Valley,Jersey City,CT,Downtown Stamford,9.4
90625 Cedar Lane,Jersey City,CT,Downtown Stamford,9.4
19908 Maple Street,Jersey City,CT,Downtown New London,3.2
67818 Dawson Terrace,Elizabeth,NJ,South Trenton,1.0
56192 Pine Drive,Elizabeth,NJ,Downtown Camden,1.3
54954 Santos Stream,Elizabeth,NJ,Downtown Camden,1.3
79950 Chad Valley,New Haven,CT,East Hartford,2.7
19388 Chad Valley,New Haven,CT,Downtown New London,3.2
120516 Alison Bridge,New Haven,CT,South Norwalk,7.0
4788 Maple Street,Syracuse,CT,North New Haven,7.1
75576 Alison Bridge,Bridgeport,CT,Downtown Stamford,9.4
116100 Dawson Terrace,Bridgeport,CT,Downtown New London,3.2
28016 Oak Avenue,Bridgeport,CT,Downtown Stamford,9.4
124396 Dawson Terrace,New York,NY,South Staten Island,6.3
85008 Chad Valley,New York,NY,Northern Queens,9.3
100358 Cedar Lane,New York,NY,Lower West Side,1.5
36400 Dawson Terrace,Waterbury,CT,South Norwalk,7.0
68808 Chad Valley,Waterbury,CT,East Hartford,2.7
33654 Dawson Terrace,Bridgeport,CT,South Norwalk,7.0
57915 Elm Circle,Bridgeport,CT,South Norwalk,7.0
138528 Oak Avenue,Newark,CT,East Hartford,2.7
19140 Santos Stream,Hartford,CT,East Hartford,2.7
55626 Pine Drive,Hartford,CT,Downtown New London,3.2
131124 Chad Valley,Hartford,CT,South Norwalk,7.0
65712 Omar Park,Bridgeport,CT,North New Haven,7.1
148404 Pine Drive,Bridgeport,CT,Downtown Stamford,9.4
13650 Dawson Terrace,Bridgeport,CT,North New Haven,7.1
38354 Pine Drive,Jersey City,CT,North New Haven,7.1
25536 Chad Valley,Jersey City,CT,North New Haven,7.1
47889 Cedar Lane,Jersey City,CT,East Hartford,2.7
4158 Alison Bridge,Rochester,CT,Downtown New London,3.2
74400 Dawson Terrace,Rochester,CT,South Norwalk,7.0
95628 Chad Valley,Rochester,CT,East Hartford,2.7
87920 Elm Circle,Buffalo,NY,Upper West Side,7.7
107124 Chad Valley,Buffalo,NY,Upper West Side,7.7
76479 Cedar Lane,Buffalo,NY,Upper West Side,7.7
159840 Oak Avenue,Waterbury,CT,Downtown New London,3.2
98049 Elm Circle,Waterbury,CT,Downtown Stamford,9.4
117936 Alison Bridge,Waterbury,CT,Downtown Stamford,9.4
155828 Santos Stream,Newark,CT,East Hartford,2.7
8200 Pine Drive,Newark,CT,South Norwalk,7.0
80685 Oak Avenue,Newark,CT,South Norwalk,7.0
14940 Alison Bridge,Syracuse,CT,East Hartford,2.7
151469 Oak Avenue,Syracuse,CT,South Norwalk,7.0
4704 Omar Park,Hartford,CT,East Hartford,2.7
59826 Alison Bridge,Hartford,CT,South Norwalk,7.0
27370 Oak Avenue,Hartford,CT,North New Haven,7.1
103797 Elm Circle,Waterbury,CT,Downtown Stamford,9.4
151360 Pine Drive,Waterbury,CT,East Hartford,2.7
51208 Santos Stream,Newark,CT,Downtown New London,3.2
110316 Santos Stream,Bridgeport,CT,South Norwalk,7.0
86450 Maple Street,Stamford,CT,East Hartford,2.7
5456 Maple Street,Stamford,CT,North New Haven,7.1
109740 Santos Stream,Elizabeth,NJ,Downtown Camden,1.3
131542 Pine Drive,Elizabeth,NJ,South Trenton,1.0
168260 Oak Avenue,Elizabeth,NJ,Downtown Camden,1.3
101160 Maple Street,Waterbury,CT,Downtown Stamford,9.4
16833 Cedar Lane,Waterbury,CT,East Hartford,2.7
18382 Elm Circle,Waterbury,CT,East Hartford,2.7
124440 Omar Park,Paterson,CT,South Norwalk,7.0
48944 Oak Avenue,Paterson,CT,Downtown New London,3.2
26455 Oak Avenue,Paterson,CT,North New Haven,7.1
68262 Cedar Lane,Newark,CT,Downtown New London,3.2
27863 Elm Circle,Newark,CT,North New Haven,7.1
38352 Omar Park,Buffalo,NY,Downtown Manhattan,1.7
19089 Maple Street,Buffalo,NY,South Bronx,3.6
43890 Santos Stream,Buffalo,NY,Lower West Side,1.5
97983 Omar Park,Elizabeth,NJ,Downtown Camden,1.3
12096 Chad Valley,Albany,CT,North New Haven,7.1
131626 Maple Street,Hartford,CT,North New Haven,7.1
1358 Pine Drive,Elizabeth,NJ,Downtown Camden,1.3
60060 Elm Circle,Elizabeth,NJ,East Elizabeth,4.5
157780 Chad Valley,Stamford,CT,North New Haven,7.1
108547 Alison Bridge,Paterson,CT,Downtown New London,3.2
96624 Chad Valley,Paterson,CT,South Norwalk,7.0
12736 Omar Park,New Haven,CT,Downtown Stamford,9.4
145800 Elm Circle,Syracuse,CT,Downtown New London,3.2
185121 Santos Stream,Elizabeth,NJ,South Trenton,1.0
110090 Santos Stream,Elizabeth,NJ,East Elizabeth,4.5
104545 Maple Street,Waterbury,CT,East Hartford,2.7
1020 Dawson Terrace,Waterbury,CT,Downtown Stamford,9.4
156620 Santos Stream,Stamford,CT,North New Haven,7.1
4532 Cedar Lane,Trenton,CT,South Norwalk,7.0
179469 Maple Street,Trenton,CT,Downtown New London,3.2
66560 Elm Circle,Buffalo,NY,Midtown East,2.1
24871 Cedar Lane,Buffalo,NY,Lower West Side,1.5
175350 Omar Park,Buffalo,NY,South Bronx,3.6
64144 Omar Park,Newark,CT,South Norwalk,7.0
113208 Dawson Terrace,Newark,CT,Downtown New London,3.2
204906 Pine Drive,Trenton,CT,Downtown Stamford,9.4
100366 Dawson Terrace,Trenton,CT,Downtown Stamford,9.4
135450 Omar Park,Trenton,CT,Downtown New London,3.2
96984 Oak Avenue,New Haven,CT,South Norwalk,7.0
162967 Alison Bridge,New Haven,CT,Downtown Stamford,9.4
30520 Santos Stream,New Haven,CT,East Hartford,2.7
34602 Oak Avenue,Trenton,CT,North New Haven,7.1
169840 Cedar Lane,Syracuse,CT,Downtown Stamford,9.4
12155 Dawson Terrace,Syracuse,CT,East Hartford,2.7
69042 Dawson Terrace,Hartford,CT,South Norwalk,7.0
18732 Chad Valley,Hartford,CT,Downtown New London,3.2
177856 Dawson Terrace,Bridgeport,CT,East Hartford,2.7
89775 Maple Street,Elizabeth,NJ,Downtown Camden,1.3
169048 Omar Park,Elizabeth,NJ,East Elizabeth,4.5
49940 Chad Valley,Buffalo,NY,North Staten Island,2.0
92568 Chad Valley,Syracuse,CT,Downtown New London,3.2
26564 Elm Circle,Syracuse,CT,East Hartford,2.7
16560 Chad Valley,Hartford,CT,East Hartford,2.7
92862 Alison Bridge,Elizabeth,NJ,Mid New Brunswick,7.6
204160 Maple Street,Elizabeth,NJ,South Trenton,1.0
226243 Oak Avenue,Paterson,CT,Downtown Stamford,9.4
51480 Dawson Terrace,Paterson,CT,Downtown New London,3.2
37600 Santos Stream,Paterson,CT,North New Haven,7.1
89444 Chad Valley,New Haven,CT,East Hartford,2.7
103569 Omar Park,New Haven,CT,North New Haven,7.1
177072 Oak Avenue,New Haven,CT,East Hartford,2.7
135513 Omar Park,Rochester,CT,Downtown New London,3.2
168960 Elm Circle,Rochester,CT,Downtown Stamford,9.4
26992 Santos Stream,Bridgeport,CT,North New Haven,7.1
218768 Santos Stream,New York,NY,Lower East Side,6.8
1215 Cedar Lane,New York,NY,Upper West Side,7.7
168848 Elm Circle,Rochester,CT,North New Haven,7.1
6370 Cedar Lane,Albany,CT,East Hartford,2.7
76506 Cedar Lane,Albany,CT,Downtown Stamford,9.4
98059 Pine Drive,Albany,CT,East Hartford,2.7
72168 Elm Circle,Elizabeth,NJ,East Elizabeth,4.5
246261 Chad Valley,Paterson,CT,East Hartford,2.7
86750 Santos Stream,Paterson,CT,North New Haven,7.1
234434 Alison Bridge,Paterson,CT,South Norwalk,7.0
85680 Oak Avenue,Bridgeport,CT,East Hartford,2.7
220869 Maple Street,Waterbury,CT,North New Haven,7.1
22352 Oak Avenue,Waterbury,CT,North New Haven,7.1
10710 Pine Drive,Waterbury,CT,East Hartford,2.7
175104 Elm Circle,Hartford,CT,South Norwalk,7.0
34952 Chad Valley,Hartford,CT,Downtown Stamford,9.4
185502 Chad Valley,Paterson,CT,North New Haven,7.1
72261 Santos Stream,Rochester,CT,North New Haven,7.1
200200 Alison Bridge,Elizabeth,NJ,Downtown Camden,1.3
